Borough_Station,Under_19,19_24,25_40,41_59,60_over,total
1 AVE EAST 14 ST-MANHATTAN,,1,,,,1
1 AVENUE & EAST 14 STREET-MANHATTAN,,52,19,16,2,89
1 AVENUE & EAST HOUSTON STREET-MANHATTAN,,1,,,,1
10 AVENUE & WEST 207 STREET-MANHATTAN,,21,9,3,,33
10 AVENUE & WEST 215 STREET-MANHATTAN,,1,,,,1
10 AVENUE & WEST 59 STREET-MANHATTAN,,,1,,,1
101 WEST 145 STREET-MANHATTAN,,,2,1,,3
103 STREET & ROOSEVELT AVENUE-QUEENS,,29,22,6,,57
104 STREET & LIBERTY AVENUE-QUEENS,,1,,,,1
111 STREET & LIBERTY AVENUE-QUEENS,,7,2,1,,10
111 STREET & ROOSEVELT AVENUE-QUEENS,,5,1,,,6
117-14 QUEENS BOULEVARD-QUEENS,,,1,,,1
135 EAST 125 STREET-MANHATTAN,,,1,,,1
148 STREET & HILLSIDE AVENUE-QUEENS,,2,1,,,3
1503 BUSHWICK AVENUE-BROOKLYN,,,1,,,1
159 AVENUE & COLEMAN SQUARE-QUEENS,,9,5,1,,15
162 AMSTERDAM AVENUE-MANHATTAN,,,1,,,1
18 AVENUE & 85 STREET-BROOKLYN,,,,1,,1
184 3 AVENUE-MANHATTAN,,,1,,,1
2 AVENUE & EAST 2 STREET-MANHATTAN,,,,1,,1
2 AVENUE & EAST HOUSTON STREET-MANHATTAN,,64,68,54,6,192
2 PLACE & SMITH STREET-BROOKLYN,,,1,1,,2
2085 LEXINGTON AVENUE-MANHATTAN,,1,,,,1
21 STREET & 49 AVENUE-QUEENS,,,,1,,1
217 SUBWAY BRONX IRT-BRONX,,1,,,,11
2399 FULTON STREET-BROOKLYN,,1,,,,
25 STREET & 4 AVENUE-BROOKLYN,,1,,,,1
25 STREET-BROOKLYN,,,,1,,1
2540 VALENTINE AVENUE-BRONX,,,,1,,1
27 STREET & QUEENS PLAZA SOUTH-QUEENS,,4,5,2,,11
3 AVENUE & BROOK AVENUE-BRONX,,2,,,,2
3 AVENUE & EAST 124 STREET-MANHATTAN,,,1,2,,3
3 AVENUE & EAST 138 STREET-BRONX,,11,11,10,1,33
3 AVENUE & EAST 14 STREET-MANHATTAN,,4,5,2,,11
3 AVENUE & EAST 140 STREET-BRONX,,,1,,,1
3 AVENUE & EAST 149 STREET-BRONX,1,243,173,120,2,539
3 AVENUE & EAST 161 STREET-BRONX,,1,1,,,2
3 AVENUE & EAST 163 STREET-BRONX,,27,16,19,1,63
3 AVENUE & EAST 60 STREET-MANHATTAN,,1,,,,1
3 AVENUE & EAST FORDHAM ROAD-BRONX,,35,33,6,,74
3 AVENUE BRIDGE & 3 AVENUE-BRONX,,,1,1,,2
30 STREET & BROADWAY-QUEENS,,1,,,,1
31 STREET & 30 AVENUE-QUEENS,,1,,,,1
31 STREET & 36 AVENUE-QUEENS,,2,2,,,4
31 STREET & 39 AVENUE-QUEENS,,,1,1,,2
31 STREET & ASTORIA BOULEVARD-QUEENS,,1,,1,,2
31 STREET & BROADWAY-QUEENS,,3,1,,,4
31 STREET & DITMARS BOULEVARD-QUEENS,,6,2,,,8
330 JAY STREET-BROOKLYN,,1,,,,1
34 AVENUE & STEINWAY STREET-QUEENS,,43,15,2,,60
3437 JEROME AVENUE-BRONX,,1,,,,1
36 AVENUE & 31 STREET-QUEENS,,1,,,,1
36 AVENUE-QUEENS,,,1,,,1
36 STREET & NORTHERN BOULEVARD-QUEENS,,1,6,2,,9
36 STREET-QUEENS,,1,,,,1
4 AVENUE & 25 STREET-BROOKLYN,,23,6,8,,37
4 AVENUE & 36 STREET-BROOKLYN,,5,2,,,7
4 AVENUE & 45 STREET-BROOKLYN,,2,1,,,3
4 AVENUE & 53 STREET-BROOKLYN,,22,6,2,,30
4 AVENUE & 59 STREET-BROOKLYN,,13,5,1,,19
4 AVENUE & 69 STREET-BROOKLYN,,,1,,,1
4 AVENUE & 86 STREET-BROOKLYN,4,16,2,3,,25
4 AVENUE & 9 STREET-BROOKLYN,,7,6,5,,18
4 AVENUE & 95 STREET-BROOKLYN,,2,,,,2
4 AVENUE & ASTOR PLACE-MANHATTAN,,1,,,,1
4 AVENUE & BAY RIDGE AVENUE-BROOKLYN,,4,1,1,,6
4 AVENUE & EAST 14 STREET-MANHATTAN,,1,,,,1
4 AVENUE & PACIFIC STREET-BROOKLYN,,1,2,2,,5
4 AVENUE & PROSPECT AVENUE-BROOKLYN,,4,5,4,,13
4 AVENUE & UNION STREET-BROOKLYN,,4,2,,,6
4 AVENUE-BROOKLYN,,1,,,,1
40 STREET & QUEENS BOULEVARD-QUEENS,,1,,,,1
41 AVENUE & 21 STREET-QUEENS,,,,1,,1
41 AVENUE & NORTHERN BOULEVARD-QUEENS,,1,,,,1
4175 BROADWAY-MANHATTAN,,1,,,,1
44 DRIVE & 21 STREET-QUEENS,,1,,,,1
44 DRIVE & 23 STREET-QUEENS,,,1,,,1
44 STREET & NEW UTRECHT AVENUE-BROOKLYN,,3,3,2,,8
46 STREET & BROADWAY-QUEENS,,,1,,,1
46 STREET & QUEENS BOULEVARD-QUEENS,,10,5,2,,17
47 SUBWAY QUEENS IRT-QUEENS,,,,1,,1
5 AVENUE & 49 STREET-BROOKLYN,,1,,,,1
5 AVENUE & EAST 23 STREET-MANHATTAN,,1,,,,1
5 AVENUE & EAST 59 STREET-MANHATTAN,,1,,,,1
5 AVENUE & WEST 53 STREET-MANHATTAN,,1,,,,1
50 AVENUE & VERNON BOULEVARD-QUEENS,,1,,,,1
52 STREET & ROOSEVELT AVENUE-QUEENS,,1,1,,,2
574 PRESIDENT STREET-BROOKLYN,,,1,,,1
59 STREET-BROOKLYN,,1,,,,1
600 EAST 125 STREET-MANHATTAN,,,,1,,1
61 STREET & ROOSEVELT AVENUE-QUEENS,,1,1,,,2
62 STREET & 18 AVENUE-BROOKLYN,,1,,,,1
62 STREET & FORT HAMILTON PARKWAY-BROOKLYN,,1,2,1,,4
62 STREET & NEW UTRECHT AVENUE-BROOKLYN,,1,1,,,2
62 STREET-BROOKLYN,,,1,■,,1
63 DRIVE & QUEENS BOULEVARD-QUEENS,,,1,,,1
63 STREET & 18 AVENUE-BROOKLYN,,1,2,,,3
63 STREET & 20 AVENUE-BROOKLYN,,1,,1,,2
644 FRANKLIN AVENUE-BROOKLYN,,,1,1,,2
673 SAINT NICHOLAS AVENUE-MANHATTAN,,,1,,,1
69 STREET & ROOSEVELT AVENUE-QUEENS,,5,,,,5
695 SAINT NICHOLAS AVENUE-MANHATTAN,,,1,,,1
7 AVENUE & 9 STREET-BROOKLYN,,5,2,,,7
7 AVENUE & WEST 14 STREET-MANHATTAN,,6,6,4,,16
7 AVENUE & WEST 18 STREET-MANHATTAN,,,2,,,2
7 AVENUE & WEST 23 STREET-MANHATTAN,,3,6,5,,14
7 AVENUE & WEST 28 STREET-MANHATTAN,,5,4,6,1,16
