Borough_Station,Under_19,19_24,25_40,41_59,60_over,total
1 AVE EAST 14 ST-MANHATTAN,,1,,,,1
1 AVENUE &amp;&amp; EAST 14 STREET-MANHATTAN,,52,19,16,2,89
1 AVENUE &amp;&amp; EAST HOUSTON STREET-MANHATTAN,,1,,,,1
10 AVENUE &amp;&amp; WEST 207 STREET-MANHATTAN,,21,9,3,,33
10 AVENUE &amp;&amp; WEST 215 STREET-MANHATTAN,,1,,,,1
10 AVENUE &amp;&amp; WEST 59 STREET-MANHATTAN,,,1,,,1
101 WEST 145 STREET-MANHATTAN,,,2,1,,3
103 STREET &amp;&amp; ROOSEVELT AVENUE-QUEENS,,29,22,6,,57
104 STREET &amp;&amp; LIBERTY AVENUE-QUEENS,,1,,,,1
111 STREET &amp;&amp; LIBERTY AVENUE-QUEENS,,7,2,1,,10
111 STREET &amp;&amp; ROOSEVELT AVENUE-QUEENS,,5,1,,,6
117-14 QUEENS BOULEVARD-QUEENS,,,1,,,1
135 EAST 125 STREET-MANHATTAN,,,1,,,1
148 STREET &amp;&amp; HILLSIDE AVENUE-QUEENS,,2,1,,,3
1503 BUSHWICK AVENUE-BROOKLYN,,,1,,,1
159 AVENUE &amp;&amp; COLEMAN SQUARE-QUEENS,,9,5,1,,15
162 AMSTERDAM AVENUE-MANHATTAN,,,1,,,1
18 AVENUE &amp;&amp; 85 STREET-BROOKLYN,,,,1,,1
184 3 AVENUE-MANHATTAN,,,1,,,1
2 AVENUE &amp;&amp; EAST 2 STREET-MANHATTAN,,,,1,,1
2 AVENUE &amp;&amp; EAST HOUSTON STREET-MANHATTAN,,64,68,54,6,192
2 PLACE &amp;&amp; SMITH STREET-BROOKLYN,,,1,1,,2
2085 LEXINGTON AVENUE-MANHATTAN,,1,,,,1
21 STREET &amp;&amp; 49 AVENUE-QUEENS,,,,1,,1
217 SUBWAY BRONX IRT-BRONX,,1,,,,11
2399 FULTON STREET-BROOKLYN,,1,,,,
25 STREET &amp;&amp; 4 AVENUE-BROOKLYN,,1,,,,1
25 STREET-BROOKLYN,,,,1,,1
2540 VALENTINE AVENUE-BRONX,,,,1,,1
27 STREET &amp;&amp; QUEENS PLAZA SOUTH-QUEENS,,4,5,2,,11
