station_borough,female,male,total
1 AVE EAST 14ST-MANHATTAN,,1,1
1 AVENUE & EAST 14 STREET-MANHATTAN,10,79,89
1 AVENUE & EAST HOUSTON STREET-MANHATTAN,,1,1
10 AVENUE & WEST 207 STREET-MANHATTAN,2,31,33
10 AVENUE & WEST 215 STREET-MANHATTAN,,1,1
10 AVENUE & WEST 59 STREET-MANHATTAN,,1,1
101 WEST 145 STREET-MANHATTAN,1,2,3
103 STREET & ROOSEVELT AVENUE-QUEENS,3,54,57
104 STREET & LIBERTY AVENUE-QUEENS,,1,1
111 STREET & LIBERTY AVENUE-QUEENS,,10,10
111 STREET & ROOSEVELT AVENUE-QUEENS,2,4,6
117-14 QUEENS BOULEVARD-QUEENS,,1,1
135 EAST 125 STREET-MANHATTAN,,1,1
148 STREET & HILLSIDE AVENUE-QUEENS,,3,3
1503 BUSHWICK AVENUE-BROOKLYN,,1,1
159 AVENUE & COLEMAN SQUARE-QUEENS,2,13,15
162 AMSTERDAM AVENUE-MANHATTAN,,1,1
18 AVENUE & 85 STREET-BROOKLYN,,1,1
184 3 AVENUE-MANHATTAN,1,,1
2 AVENUE & EAST 2 STREET-MANHATTAN,1,,1
2 AVENUE & EAST HOUSTON STREET-MANHATTAN,19,173,192
2 PLACE & SMITH STREET-BROOKLYN,,2,2
2085 LEXINGTON AVENUE-MANHATTAN,,1,1
21 STREET & 49 AVENUE-QUEENS,,1,1
217 SUBWAY BRONX IRT-BRONX,,1,1
2399 FULTON STREET-BROOKLYN,,1,1
25 STREET & 4 AVENUE-BROOKLYN,,1,1
25 STREET-BROOKLYN,,1,1
2540 VALENTINE AVENUE-BRONX,,1,1
27 STREET & QUEENS PLAZA SOUTH-QUEENS,1,10,11
3 AVENUE & BROOK AVENUE-BRONX,,2,2
3 AVENUE & EAST 124 STREET-MANHATTAN,,3,3
3 AVENUE & EAST 138 STREET-BRONX,4,29,33
3 AVENUE & EAST 14 STREET-MANHATTAN,,11,11
3 AVENUE & EAST 140 STREET-BRONX,,1,1
3 AVENUE & EAST 149 STREET-BRONX,71,468,539
3 AVENUE & EAST 161 STREET-BRONX,1,1,2
3 AVENUE & EAST 163 STREET-BRONX,4,59,63
3 AVENUE & EAST 60 STREET-MANHATTAN,,1,1
3 AVENUE & EAST FORDHAM ROAD-BRONX,6,68,74
3 AVENUE BRIDGE & 3 AVENUE-BRONX,,2,2
30 STREET & BROADWAY-QUEENS,,1,1
31 STREET & 30 AVENUE-QUEENS,1,,1
31 STREET & 36 AVENUE-QUEENS,,4,4
31 STREET & 39 AVENUE-QUEENS,,2,2
31 STREET & ASTORIA BOULEVARD-QUEENS,,2,2
31 STREET & BROADWAY-QUEENS,,4,4
31 STREET & DITMARS BOULEVARD-QUEENS,,8,8
330 JAY STREET-BROOKLYN,,1,1
34 AVENUE & STEINWAY STREET-QUEENS,5,55,60
3437 JEROME AVENUE-BRONX,,1,1
36 AVENUE & 31 STREET-QUEENS,,1,1
36 AVENUE-QUEENS,,1,1
36 STREET & NORTHERN BOULEVARD-QUEENS,2,7,9
36 STREET-QUEENS,,1,1
 AVENUE & 25 STREET-BROOKLYN,4,33,37
4 AVENUE & 36 STREET-BROOKLYN,1,6,7
